#      distance  UPrime2Mean_xx  UPrime2Mean_xy  UPrime2Mean_xz  UPrime2Mean_yy  UPrime2Mean_yz  UPrime2Mean_zz
      85.427136               0               0               0               0               0               0
      86.432161               0               0               0               0               0               0
      87.437186               0               0               0               0               0               0
      88.442211               0               0               0               0               0               0
      89.447236               0               0               0               0               0               0
      90.452261               0               0               0               0               0               0
      91.457286               0               0               0               0               0               0
      92.462312               0               0               0               0               0               0
      93.467337               0               0               0               0               0               0


      95.477387               0               0               0               0               0               0
      96.482412               0               0               0               0               0               0
      97.487437               0               0               0               0               0               0


      99.497487               0               0               0               0               0               0
      100.50251               0               0               0               0               0               0


      102.51256               0               0               0               0               0               0
      103.51759               0               0               0               0               0               0
      104.52261               0               0               0               0               0               0


      106.53266               0               0               0               0               0               0
      107.53769               0               0               0               0               0               0
      108.54271               0               0               0               0               0               0
      109.54774               0               0               0               0               0               0
      110.55276               0               0               0               0               0               0
      111.55779               0               0               0               0               0               0
      112.56281               0               0               0               0               0               0
      113.56784               0               0               0               0               0               0
      114.57286               0               0               0               0               0               0
      115.57789               0               0               0               0               0               0
      116.58291               0               0               0               0               0               0
      117.58794               0               0               0               0               0               0
      118.59296               0               0               0               0               0               0
      119.59799               0               0               0               0               0               0
      120.60302               0               0               0               0               0               0
      121.60804               0               0               0               0               0               0
      122.61307               0               0               0               0               0               0
      123.61809               0               0               0               0               0               0
      124.62312               0               0               0               0               0               0
      125.62814               0               0               0               0               0               0
      126.63317               0               0               0               0               0               0
      127.63819               0               0               0               0               0               0
      128.64322               0               0               0               0               0               0
      129.64824               0               0               0               0               0               0
      130.65327               0               0               0               0               0               0
      131.65829               0               0               0               0               0               0
      132.66332               0               0               0               0               0               0
      133.66834               0               0               0               0               0               0
      134.67337               0               0               0               0               0               0
      135.67839               0               0               0               0               0               0
      136.68342               0               0               0               0               0               0
      137.68844               0               0               0               0               0               0
      138.69347               0               0               0               0               0               0
      139.69849               0               0               0               0               0               0
      140.70352               0               0               0               0               0               0
      141.70854               0               0               0               0               0               0
      142.71357               0               0               0               0               0               0
      143.71859               0               0               0               0               0               0
      144.72362               0               0               0               0               0               0
      145.72864               0               0               0               0               0               0
      146.73367               0               0               0               0               0               0
      147.73869               0               0               0               0               0               0
      148.74372               0               0               0               0               0               0
      149.74874               0               0               0               0               0               0
      150.75377               0               0               0               0               0               0
      151.75879               0               0               0               0               0               0
      152.76382               0               0               0               0               0               0
      153.76884               0               0               0               0               0               0
      154.77387               0               0               0               0               0               0
      155.77889               0               0               0               0               0               0
      156.78392               0               0               0               0               0               0
      157.78894               0               0               0               0               0               0
      158.79397               0               0               0               0               0               0
      159.79899               0               0               0               0               0               0
      160.80402               0               0               0               0               0               0
      161.80905               0               0               0               0               0               0
      162.81407               0               0               0               0               0               0
       163.8191               0               0               0               0               0               0
      164.82412               0               0               0               0               0               0
      165.82915               0               0               0               0               0               0
      166.83417               0               0               0               0               0               0
       167.8392               0               0               0               0               0               0
      168.84422               0               0               0               0               0               0
      169.84925               0               0               0               0               0               0
      170.85427               0               0               0               0               0               0
       171.8593               0               0               0               0               0               0
      172.86432               0               0               0               0               0               0
      173.86935               0               0               0               0               0               0
      174.87437               0               0               0               0               0               0
       175.8794               0               0               0               0               0               0
      176.88442               0               0               0               0               0               0
      177.88945               0               0               0               0               0               0
      178.89447               0               0               0               0               0               0
       179.8995               0               0               0               0               0               0
      180.90452               0               0               0               0               0               0
      181.90955               0               0               0               0               0               0
      182.91457               0               0               0               0               0               0
       183.9196               0               0               0               0               0               0
      184.92462               0               0               0               0               0               0
      185.92965               0               0               0               0               0               0
      186.93467               0               0               0               0               0               0
       187.9397               0               0               0               0               0               0
      188.94472               0               0               0               0               0               0
      189.94975               0               0               0               0               0               0
      190.95477               0               0               0               0               0               0
       191.9598               0               0               0               0               0               0
      192.96482               0               0               0               0               0               0
      193.96985               0               0               0               0               0               0
      194.97487               0               0               0               0               0               0
       195.9799               0               0               0               0               0               0
      196.98492               0               0               0               0               0               0
      197.98995               0               0               0               0               0               0
      198.99497               0               0               0               0               0               0
